,year,caseID,gender,socialClassSelf,interestElections,wealthPrcnt,partyID,yrsEdu,voteHouseParty,approveOfConservatives,approveOfLiberals,approveOfBusiness,approveOfUnions,approveOfCongress,approveOfMiddleClass,approveOfIllegalAliens,votedForCong,isRepublican,isDemocrat
54484,2012,5672,F,2,2,28,-3,14,0,40,70,15,70,30,85,70,1,0,1
54485,2012,5673,F,5,1,8,3,16,1,97,0,50,30,40,85,50,1,1,0
54486,2012,5674,M,5,2,75,2,16,,60,15,15,30,0,50,50,0,1,0
54487,2012,5675,M,5,1,75,-2,16,0,0,85,0,50,20,90,65,1,0,1
54488,2012,5676,M,4,2,50,0,14,0,40,40,60,0,60,40,0,1,0,0
54489,2012,5677,F,5,2,28,-3,16,,15,85,30,70,60,97,40,0,0,1
54490,2012,5678,M,4,2,28,0,12,1,50,50,50,50,40,60,15,1,0,0
54491,2012,5679,F,4,2,28,-2,12,,15,0,0,0,50,97,15,0,0,1
54492,2012,5680,M,2,1,8,-2,16,,50,50,50,50,50,50,40,0,0,1
54493,2012,5681,M,5,2,75,-1,,0,15,70,15,50,30,70,40,1,0,1
54494,2012,5682,M,5,2,,-1,16,0,50,65,50,45,45,65,60,1,0,1
54495,2012,5683,M,5,2,75,2,14,,60,40,60,40,50,80,5,0,1,0
54496,2012,5684,M,3,1,28,-3,12,0,70,85,97,60,60,70,70,1,0,1
54497,2012,5685,M,1,2,50,-1,14,,,,,,,,,0,0,1
54498,2012,5686,F,5,2,28,3,14,,97,30,97,30,70,70,60,0,1,0
54499,2012,5687,M,5,2,50,0,16,1,85,0,70,15,30,97,30,1,0,0
54500,2012,5688,M,2,2,50,1,12,1,85,0,80,15,0,80,10,1,1,0
54501,2012,5689,F,1,2,28,2,12,1,60,30,50,15,30,50,15,1,1,0
54502,2012,5690,F,2,1,50,-3,14,0,30,70,70,40,60,85,60,1,0,1
54503,2012,5691,F,2,1,50,-2,14,,50,50,50,50,50,85,15,0,0,1
54504,2012,5692,M,2,2,75,-3,12,0,60,70,40,70,70,85,60,1,0,1
54505,2012,5693,M,5,1,75,1,12,,50,0,10,10,0,50,15,0,1,0
54506,2012,5694,F,6,1,28,-3,14,0,97,70,85,70,80,85,0,1,0,1
